Mrpl15,6.94147,chr1,4785283,4786042
Lypla1,3.86722,chr1,4807735,4808027
Tcea1,4.38285,chr1,4857535,4858154
Atp6v1h,4.62765,chr1,5082539,5083196
Rb1cc1,2.80854,chr1,6214264,6214857
Rrs1,5.25189,chr1,9545040,9545523
Mybl1,6.74141,chr1,9699988,9700690
1700034P13Rik;Vcpip1,3.38465,chr1,9748080,9748556
Snord87;Snhg6,10.908,chr1,9943723,9944254
Cspp1;Cops5,10.2032,chr1,10039809,10040254
Arfgef1,4.95819,chr1,10232201,10232479
Ncoa2,23.7993,chr1,13155102,13155887
Ncoa2,4.89848,chr1,13267330,13267626
Ncoa2,4.12503,chr1,13301500,13301758
Ncoa2,4.5471,chr1,13372901,13373467
Tram1;Lactb2;Xkr9,10.0033,chr1,13593286,13593663
Lactb2,5.35901,chr1,13660216,13660582
Terf1,5.37005,chr1,15805679,15806271
Rpl7;Rdh10,3.57268,chr1,16105404,16105708
Stau2;Rdh10,4.12503,chr1,16227919,16228164
Tceb1;D030040B21Rik,2.94228,chr1,16656936,16657407
Tmem70;Ly96;Tceb1;D030040B21Rik,5.67192,chr1,16747273,16747521
Mcm3;Mir206;Il17f;Mir133b;Il17a,10.5775,chr1,20740563,20740887
Mcm3,5.62337,chr1,20819614,20820616
Kcnq5,4.14057,chr1,21961007,21961463
Gm13363;Ptp4a1;Phf3,4.12503,chr1,30872551,30872957
Gm13363;Ptp4a1;Phf3,3.96655,chr1,30873345,30873731
Gm13363;Ptp4a1,8.26366,chr1,30949114,30950320
1700001G17Rik;Prim2,3.3435,chr1,33669501,33670156
Bend6,5.28874,chr1,33883202,33883629
Ccdc115;Imp4,2.80377,chr1,34439334,34439569
Ptpn18,3.47944,chr1,34472607,34473006
Ptpn18;Prss40;Imp4;Ccdc115;Mir5103;Prss39;Cfc1,4.10651,chr1,34479017,34479297
Fam168b,4.57288,chr1,34842357,34842725
Plekhb2,10.4242,chr1,34852432,34852724
,3.63601,chr1,35652714,35653009
Uggt1,6.95733,chr1,36160138,36160584
Uggt1,6.06732,chr1,36243903,36244393
Kansl3;Mir6898;Neurl3;Arid5a;Uggt1,2.94228,chr1,36262047,36262364
Neurl3,4.51286,chr1,36264154,36264672
Kansl3;Mir6898;Fer1l5;Arid5a;Neurl3;Uggt1,15.5383,chr1,36293260,36294134
Kansl3;Mir6898;Fer1l5;Arid5a;Neurl3;Uggt1,3.25237,chr1,36296676,36297460
Arid5a,6.58126,chr1,36307655,36309511
Kansl3,4.28707,chr1,36368368,36369043
Cox5b,3.60941,chr1,36691573,36691894
Zap70,3.57268,chr1,36761926,36762217
Zap70,7.28063,chr1,36766678,36767430
Tmem131,8.26365,chr1,36883795,36884116
